Marca,Modelo,Ano,Quilometragem,Cor,Cambio,Combustivel,Portas,Valor_Venda
Ford,EcoSport,2003,82624,Azul,Automático,Flex,4,52604.2
Hyundai,HB20S,2017,69260,Azul,Automático,Diesel,2,63219.0
Jeep,Renegade,2008,106493,Cinza,Manual,Gasolina,2,79710.4
Toyota,Corolla,2018,53570,Prata,Automático,Flex,2,99149.0
Ford,Ranger,2009,21643,Prata,Manual,Flex,2,68913.4
Nissan,Frontier,2021,60252,Azul,Manual,Diesel,4,79838.6
Fiat,Toro,2014,91580,Azul,Manual,Flex,2,46240.0
Ford,Ranger,2000,141406,Preto,Manual,Flex,4,33267.8
Jeep,Renegade,2010,98856,Vermelho,Automático,Gasolina,2,82228.8
Toyota,Hilux,2013,101795,Branco,Manual,Flex,4,81899.0
Hyundai,HB20,2009,62977,Azul,Automático,Diesel,4,53408.6
Jeep,Renegade,2018,789,Azul,Automático,Gasolina,2,115367.2
Jeep,Renegade,2023,33941,Branco,Automático,Diesel,4,122013.8
Fiat,Argo,2020,552,Branco,Manual,Flex,2,79031.6
Honda,Civic,2015,19806,Vermelho,Manual,Diesel,2,93866.8
Toyota,Corolla,2007,36979,Vermelho,Manual,Diesel,4,79380.2
Chevrolet,Onix Plus,2001,139895,Branco,Manual,Gasolina,4,27847.999999999996
Jeep,Renegade,2022,31980,Azul,Manual,Flex,4,114870.0
Honda,HR-V,2006,860,Azul,Automático,Gasolina,2,88420.0
Chevrolet,Onix Plus,2018,290,Branco,Manual,Flex,4,80229.0
Toyota,Hilux,2006,42417,Azul,Automático,Gasolina,4,79741.6
Volkswagen,Gol,2014,79880,Vermelho,Automático,Flex,2,52059.0
Nissan,Kicks,2007,136942,Branco,Automático,Gasolina,2,48921.6
Honda,HR-V,2013,33397,Vermelho,Automático,Flex,4,92468.6
Renault,Sandero,2000,105311,Azul,Manual,Gasolina,2,22289.8
Volkswagen,Virtus,2012,16186,Azul,Manual,Diesel,4,68885.8
Nissan,Versa,2002,115162,Cinza,Manual,Gasolina,2,45608.6
Fiat,Argo,2020,152088,Preto,Automático,Diesel,4,45529.4
Ford,EcoSport,2005,69616,Preto,Automático,Gasolina,4,52756.8
Hyundai,HB20,2018,78508,Vermelho,Automático,Diesel,4,66262.4
Renault,Sandero,2014,67296,Branco,Automático,Flex,4,55685.8
Fiat,Argo,2003,142346,Preto,Automático,Diesel,4,27633.8
Toyota,Yaris,2020,23304,Azul,Automático,Flex,2,100459.2
Fiat,Mobi,2002,96161,Prata,Manual,Diesel,4,28247.8
Ford,Ka,2003,178770,Branco,Automático,Flex,4,31946.0
Toyota,Hilux,2004,14705,Vermelho,Manual,Diesel,4,85867.0
Renault,Kwid,2017,167401,Azul,Manual,Gasolina,4,38426.799999999996
Ford,Ranger,2009,190808,Azul,Manual,Flex,2,38318.4
Chevrolet,Onix Plus,2007,52996,Prata,Automático,Flex,4,47399.8
Hyundai,HB20,2011,10607,Vermelho,Manual,Diesel,4,71430.6
Renault,Sandero,2021,184028,Branco,Manual,Gasolina,2,42723.4
Chevrolet,Onix Plus,2002,30006,Azul,Automático,Flex,2,48238.8
Nissan,Versa,2017,78554,Cinza,Manual,Flex,4,74285.2
Renault,Kwid,2022,116196,Azul,Manual,Gasolina,4,54734.8
Nissan,Versa,2007,151566,Cinza,Automático,Gasolina,2,49063.8
Toyota,Yaris,2000,152309,Cinza,Automático,Gasolina,4,50218.2
Chevrolet,Tracker,2013,40963,Branco,Automático,Flex,4,59061.4
Hyundai,Creta,2021,161613,Branco,Manual,Diesel,4,54499.4
Ford,EcoSport,2022,3447,Prata,Manual,Diesel,2,93400.6
Jeep,Renegade,2012,27156,Azul,Automático,Flex,2,99882.8
Fiat,Cronos,2011,167631,Branco,Manual,Flex,4,33853.8
Volkswagen,T-Cross,2002,152537,Branco,Automático,Flex,2,19789.6
Hyundai,HB20,2017,42120,Prata,Automático,Flex,2,71610.0
Chevrolet,Onix Plus,2020,82753,Prata,Automático,Gasolina,2,64128.4
Jeep,Compass,2012,10190,Azul,Manual,Flex,4,101348.0
Hyundai,HB20S,2014,63394,Vermelho,Manual,Flex,2,59806.2
Chevrolet,Tracker,2009,5335,Preto,Manual,Flex,2,61976.0
Honda,Civic,2000,185711,Azul,Automático,Gasolina,2,37568.799999999996
Honda,Civic,2005,156850,Preto,Automático,Gasolina,4,53258.0
Nissan,Versa,2008,149631,Vermelho,Manual,Gasolina,2,48188.8
Hyundai,HB20,2009,173413,Cinza,Manual,Flex,4,37145.399999999994
Honda,HR-V,2014,20557,Azul,Manual,Gasolina,2,88937.6
Chevrolet,S10,2008,101092,Branco,Automático,Flex,4,1241962.0
Nissan,Kicks,2022,174853,Prata,Automático,Flex,2,58885.4
Chevrolet,Onix Plus,2013,97074,Azul,Manual,Diesel,2,48228.2
Nissan,Frontier,2010,20575,Prata,Manual,Gasolina,4,73722.0
Hyundai,Creta,2006,72848,Cinza,Manual,Diesel,4,52770.4
Jeep,Compass,2023,113216,Prata,Manual,Diesel,2,103841.8
Ford,Ka,2001,4616,Cinza,Automático,Gasolina,4,57842.8
