Marca,Modelo,Ano,Quilometragem,Cor,Cambio,Combustivel,Portas,Valor_Venda,idade_carro
Nissan,Frontier,2000,117290,Cinza,Manual,Gasolina,4,43413.0,26
Ford,Ranger,2000,141406,Preto,Manual,Flex,4,33267.8,26
Toyota,Hilux,2000,138468,Branco,Manual,Flex,2,51867.4,26
Renault,Sandero,2000,105311,Azul,Manual,Gasolina,2,22289.8,26
Renault,Duster,2000,31654,Prata,Automático,Diesel,2,35878.2,26
Nissan,Kicks,2000,73920,Vermelho,Manual,Diesel,4,48027.0,26
Ford,Ka,2000,75762,Prata,Manual,Flex,4,43329.6,26
Toyota,Corolla,2000,39140,Preto,Automático,Flex,4,69430.0,26
Fiat,Mobi,2000,14974,Vermelho,Automático,Gasolina,2,40243.2,26
Jeep,Renegade,2000,20822,Azul,Manual,Flex,2,83517.6,26
Jeep,Compass,2000,71135,Cinza,Automático,Flex,2,73325.0,26
Honda,HR-V,2000,36822,Azul,Manual,Gasolina,4,67911.6,26
Volkswagen,T-Cross,2000,23410,Azul,Automático,Gasolina,4,49433.0,26
Fiat,Toro,2000,42446,Cinza,Automático,Gasolina,2,40168.8,26
Renault,Duster,2000,165354,Cinza,Automático,Diesel,2,14970.199999999995,26
Hyundai,HB20S,2000,37659,Prata,Manual,Gasolina,4,51955.2,26
Jeep,Compass,2000,176863,Cinza,Manual,Flex,4,51568.4,26
Ford,Ka,2000,62871,Cinza,Automático,Diesel,2,46314.8,26
Toyota,Yaris,2000,6480,Azul,Manual,Diesel,4,75301.0,26
Ford,Ranger,2000,40482,Preto,Automático,Diesel,4,48606.6,26
Ford,EcoSport,2000,9507,Cinza,Manual,Diesel,2,57125.6,26
Ford,Ranger,2000,175442,Vermelho,Automático,Flex,2,27479.6,26
Chevrolet,Onix,2000,164718,Branco,Manual,Flex,4,22903.4,26
Ford,Ka,2000,88448,Vermelho,Automático,Flex,4,45003.4,26
Toyota,Corolla,2000,89354,Branco,Manual,Diesel,2,64120.2,26
Ford,Ranger,2000,101959,Cinza,Automático,Gasolina,2,40889.2,26
Hyundai,HB20S,2000,113646,Prata,Automático,Gasolina,4,32557.8,26
Jeep,Compass,2000,118071,Vermelho,Automático,Gasolina,2,70698.8,26
Toyota,Hilux,2000,116829,Preto,Manual,Gasolina,2,57967.2,26
Fiat,Mobi,2000,146000,Vermelho,Manual,Flex,4,20659.0,26
Toyota,Corolla,2000,2090,Preto,Manual,Gasolina,4,74736.0,26
Volkswagen,Polo,2000,189357,Vermelho,Manual,Gasolina,4,14103.6,26
Honda,HR-V,2000,146948,Cinza,Automático,Flex,2,41960.4,26
Renault,Duster,2000,175295,Vermelho,Automático,Flex,4,11109.0,26
Honda,HR-V,2000,157307,Prata,Automático,Diesel,4,43883.600000000006,26
Jeep,Renegade,2000,160284,Prata,Automático,Diesel,2,62566.2,26
Renault,Duster,2000,11674,Cinza,Manual,Flex,4,40397.2,26
Ford,Ranger,2000,21119,Branco,Manual,Flex,4,58493.2,26
Hyundai,HB20S,2000,93870,Azul,Automático,Diesel,4,35566.0,26
Hyundai,HB20S,2000,181300,Vermelho,Automático,Gasolina,2,22615.0,26
Toyota,Corolla,2000,132976,Vermelho,Automático,Diesel,4,54611.8,26
Renault,Duster,2000,4428,Preto,Manual,Gasolina,2,44001.4,26
Toyota,Hilux,2000,118602,Branco,Manual,Gasolina,2,52569.6,26
Ford,Ranger,2000,137931,Vermelho,Automático,Diesel,4,34568.8,26
Volkswagen,T-Cross,2000,164592,Vermelho,Automático,Diesel,2,13385.6,26
Fiat,Argo,2000,195178,Cinza,Automático,Flex,4,10000.0,26
Ford,Ranger,2000,183981,Branco,Manual,Flex,4,21563.800000000003,26
Renault,Kwid,2000,21529,Azul,Automático,Flex,4,38704.2,26
Toyota,Yaris,2000,44522,Branco,Automático,Diesel,4,72685.6,26
Ford,EcoSport,2000,121404,Cinza,Automático,Gasolina,4,37877.2,26
Toyota,Corolla,2000,88388,Azul,Automático,Flex,4,57965.4,26
Volkswagen,Virtus,2000,79654,Cinza,Automático,Diesel,4,29099.2,26
Nissan,Frontier,2000,85609,Prata,Automático,Diesel,4,52001.2,26
Renault,Sandero,2000,59961,Cinza,Automático,Diesel,2,36335.8,26
Ford,Ka,2000,88478,Azul,Manual,Gasolina,2,39916.4,26
Ford,Ranger,2000,11613,Vermelho,Automático,Diesel,4,59197.4,26
Honda,Civic,2000,53833,Vermelho,Manual,Flex,4,59930.4,26
Ford,Ka,2000,129548,Azul,Automático,Flex,2,36397.4,26
Nissan,Kicks,2000,95495,Cinza,Manual,Gasolina,4,50609.0,26
Honda,Civic,2000,78334,Preto,Manual,Diesel,4,61392.2,26
Renault,Duster,2000,189519,Cinza,Automático,Diesel,2,10000.0,26
Fiat,Cronos,2000,108114,Branco,Manual,Flex,2,21402.2,26
Fiat,Toro,2000,102849,Prata,Automático,Diesel,2,27830.2,26
Fiat,Toro,2000,9407,Azul,Manual,Diesel,2,44840.6,26
Toyota,Corolla,2000,175721,Preto,Manual,Gasolina,4,45357.8,26
Fiat,Toro,2000,15103,Vermelho,Manual,Diesel,2,48668.4,26
Honda,HR-V,2000,120325,Preto,Manual,Flex,2,47625.0,26
Volkswagen,Virtus,2000,77582,Azul,Manual,Diesel,2,36421.600000000006,26
